Budget Year Name,Account Type,Balance Type,Current Stage Desc,Unit And Desc,DEPT,Subunit And Desc,Child Fund And Desc,Child Project And Desc,Program And Desc,Child Acct And Desc, Year Amount SUM 
FY10-11,Expense,Estimate,pre-test Midcycle,61348 - West Oakland Branch,Library,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB17 - BRANCH LIBRARY SERVICES,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 1,450 "
FY10-11,Expense,Estimate,pre-test Midcycle,61337 - Rockridge Branch,Library,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB17 - BRANCH LIBRARY SERVICES,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 2,580 "
FY10-11,Expense,Estimate,pre-test Midcycle,61231 - Art / History / Literature,Library,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB16 - MAIN LIBRARY SERVICES,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 1,660 "
FY10-11,Expense,Estimate,pre-test Midcycle,61237 - Children's Room,Library,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB16 - MAIN LIBRARY SERVICES,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 2,090 "
FY10-11,Expense,Estimate,pre-test Midcycle,61243 - Circulation,Library,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB16 - MAIN LIBRARY SERVICES,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 4,440 "
FY10-11,Expense,Estimate,pre-test Midcycle,61236 - Science  Business and Sociology,Library,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB16 - MAIN LIBRARY SERVICES,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 2,730 "
FY10-11,Expense,Estimate,pre-test Midcycle,61132 - Teen Services,Library,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB37 - LIBRARY SYSTEMWIDE SUPPORT,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 1,060 "
FY10-11,Expense,Estimate,pre-test Midcycle,61121 - Departmental Operation,Library,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB37 - LIBRARY SYSTEMWIDE SUPPORT,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," (76,390)"
FY10-11,Expense,Estimate,pre-test Midcycle,01111 - Mayor: Administration,Mayor,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IP01 - MAYOR'S SUPPORT,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 3,340 "
FY10-11,Expense,Estimate,pre-test Midcycle,62111 - Administration,Museum,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB20 - MUSEUM OVERSIGHT,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 6,410 "
FY10-11,Expense,Estimate,pre-test Midcycle,62411 - Curatorial Services,Museum,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB22 - MUSEUM CURATORIAL & EXHIBITION SERVICES,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 2,150 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50121 - OPR Budget Fiscal,Office of Parks and Recreation,501210 - Budget and Fiscal,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB01 - CENTRAL ADMINISTRATION,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement), 50 
FY10-11,Expense,Estimate,pre-test Midcycle,U50233 - City-Wide Sports,Office of Parks and Recreation,502330 - City-Wide Sports,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IN12 - DAVIES TENNIS & CITYWIDE TENNIS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," (1,930)"
FY10-11,Expense,Estimate,pre-test Midcycle,U50929 - Ball Fields Maintenance,Office of Parks and Recreation,509290 - Ball Fields Maintenance,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB10 - BALL FIELDS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement), (670)
FY10-11,Expense,Estimate,pre-test Midcycle,U50123 - OPR Personnel,Office of Parks and Recreation,501230 - OPR Personnel,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB01 - CENTRAL ADMINISTRATION,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement), (50)
FY10-11,Expense,Estimate,pre-test Midcycle,U50235 - Boating,Office of Parks and Recreation,502350 - Boating,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB05 - AQUATICS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement), (830)
FY10-11,Expense,Estimate,pre-test Midcycle,U50226 - Rotary Nature Center,Office of Parks and Recreation,502260 - Rotary Nature Center,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,CE05 - CULTURAL ARTS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement), (920)
FY10-11,Expense,Estimate,pre-test Midcycle,U50933 - At-Risk Youth Programs,Office of Parks and Recreation,509330 - At-Risk Youth,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,"NB03 - RECREATION, CULTURAL CIVIC",51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," (2,030)"
FY10-11,Expense,Estimate,pre-test Midcycle,U50233 - City-Wide Sports,Office of Parks and Recreation,502330 - City-Wide Sports,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,YS16 - AFTER SCHOOL SPORTS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," (4,250)"
FY10-11,Expense,Estimate,pre-test Midcycle,U50122 - OPR Accounting,Office of Parks and Recreation,501220 - Accounting,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB01 - CENTRAL ADMINISTRATION,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," (2,800)"
FY10-11,Expense,Estimate,pre-test Midcycle,U50223 - Area One: Recreation Centers,Office of Parks and Recreation,502230 - Area One: Recreation Center Supervision,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,"NB03 - RECREATION, CULTURAL CIVIC",51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 8,010 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50234 - Youth Adult Sports,Office of Parks and Recreation,502340 - Youth Adult Sports,1010 - General Fund: General Purpose,P184210 - ADULT SPORTS,NB04 - COMPETITIVE SPORTS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement), (90)
FY10-11,Expense,Estimate,pre-test Midcycle,U50911 - Area Three: Administration,Office of Parks and Recreation,509110 - Area Three: Administration,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,"NB03 - RECREATION, CULTURAL CIVIC",51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," (1,310)"
FY10-11,Expense,Estimate,pre-test Midcycle,U50226 - Rotary Nature Center,Office of Parks and Recreation,502260 - Rotary Nature Center,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,"NB03 - RECREATION, CULTURAL CIVIC",51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement), (400)
FY10-11,Expense,Estimate,pre-test Midcycle,504410 - City-Wide Programs,Office of Parks and Recreation,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,CE05 - CULTURAL ARTS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," (2,700)"
FY10-11,Expense,Estimate,pre-test Midcycle,U50231 - Aquatics Programs,Office of Parks and Recreation,502310 - Aquatics Supervision,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB05 - AQUATICS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," (7,320)"
FY10-11,Expense,Estimate,pre-test Midcycle,U50326 - Feather River Camp,Office of Parks and Recreation,503260 - Feather River Camp,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB02 - CONTRACT MANAGEMENT,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement), (430)
FY10-11,Expense,Estimate,pre-test Midcycle,U50235 - Boating,Office of Parks and Recreation,502350 - Boating,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IN11 - AQUATICS BOATING,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement), (120)
FY10-11,Expense,Estimate,pre-test Midcycle,U50125 - OPR Special Programs,Office of Parks and Recreation,501250 - Special Programs,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,CE05 - CULTURAL ARTS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," (1,020)"
FY10-11,Expense,Estimate,pre-test Midcycle,504320 - Malonga Casquelourd,Office of Parks and Recreation,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,CE05 - CULTURAL ARTS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," (1,550)"
FY10-11,Expense,Estimate,pre-test Midcycle,U50232 - Tennis,Office of Parks and Recreation,502320 - Tennis,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,IN12 - DAVIES TENNIS & CITYWIDE TENNIS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement), (990)
FY10-11,Expense,Estimate,pre-test Midcycle,U50111 - Office of OPR Director,Office of Parks and Recreation,501110 - Office of OPR Director,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB01 - CENTRAL ADMINISTRATION,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 72,520 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50234 - Youth Adult Sports,Office of Parks and Recreation,502340 - Youth Adult Sports,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB04 - COMPETITIVE SPORTS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," (1,670)"
FY10-11,Expense,Estimate,pre-test Midcycle,U50237 - Special Sports Programs,Office of Parks and Recreation,502370 - Area One Special Sports Programs,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,YS16 - AFTER SCHOOL SPORTS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement), (140)
FY10-11,Expense,Estimate,pre-test Midcycle,U50238 - Community Gardens,Office of Parks and Recreation,502380 - Community Gardens,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,"NB03 - RECREATION, CULTURAL CIVIC",51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement), (350)
FY10-11,Expense,Estimate,pre-test Midcycle,U50933 - At-Risk Youth Programs,Office of Parks and Recreation,509330 - At-Risk Youth,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB06 - FEATHER RIVER CAMP,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," (1,360)"
FY10-11,Expense,Estimate,pre-test Midcycle,U50112 - OPR Administrative Services,Office of Parks and Recreation,501120 - OPR Administrative Services,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB01 - CENTRAL ADMINISTRATION,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," (32,410)"
FY10-11,Expense,Estimate,pre-test Midcycle,U10251 - Assault,Police Services Agency,102510 - Assault,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS01 - AGENCY-WIDE ADMINISTRATION,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 27,280 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10232 - Special Investigations,Police Services Agency,102320 - Homicide,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS03 - CRIMINAL INVESTIGATIONS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 23,180 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10231 - Criminal Investigations,Police Services Agency,102310 - Criminal Investigation,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS13 - SPECIAL OPERATIONS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 5,370 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10331 - Communications,Police Services Agency,103310 - Communications,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS08 - COMMUNICATIONS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 7,970 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10233 - Robbery & Assault,Police Services Agency,102330 - Robbery,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS03 - CRIMINAL INVESTIGATIONS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 18,630 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10311 - Bureau of Services: Administration,Police Services Agency,103110 - Bureau of Services: Administration,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS01 - AGENCY-WIDE ADMINISTRATION,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 4,210 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10111 - Office of Chief: Administration,Police Services Agency,101110 - Office of Chief: Administration,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS01 - AGENCY-WIDE ADMINISTRATION,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 1,904,590 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10231 - Criminal Investigations,Police Services Agency,102350 - Family Services Division,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS03 - CRIMINAL INVESTIGATIONS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 57,580 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10751 - Traffic BFO,Police Services Agency,107510 - Traffic BFO,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS14 - TRAFFIC OPERATIONS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 60,450 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10771 - Special Operations,Police Services Agency,107710 - Special Operations,1010 - General Fund: General Purpose,P46000 - DEEMED APPROVED ALCOHOL CONTRO,PS13 - SPECIAL OPERATIONS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement), 570 
FY10-11,Expense,Estimate,pre-test Midcycle,U10231 - Criminal Investigations,Police Services Agency,102310 - Criminal Investigation,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS12 - VICE/NARCOTICS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 2,740 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10111 - Office of Chief: Administration,Police Services Agency,101112 - Public Information,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS01 - AGENCY-WIDE ADMINISTRATION,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 1,480 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10231 - Criminal Investigations,Police Services Agency,102310 - Criminal Investigation,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS03 - CRIMINAL INVESTIGATIONS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 23,650 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10112 - Internal Affairs,Police Services Agency,101120 - Internal Affairs,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS02 - INTERNAL AFFAIRS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 43,460 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10114 - Special Investigations,Police Services Agency,101140 - Special Investigations,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS12 - VICE/NARCOTICS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 12,920 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10771 - Special Operations,Police Services Agency,107710 - Special Operations,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS13 - SPECIAL OPERATIONS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 48,650 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10343 - Training,Police Services Agency,103430 - Training Unit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS09 - POLICE TRAINING,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 28,280 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10611 - Bureau of Administration,Police Services Agency,106110 - Bureau of Administration,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS01 - AGENCY-WIDE ADMINISTRATION,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 2,380 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10232 - Special Investigations,Police Services Agency,102321 - Targeted Enforcement Task Force I,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS12 - VICE/NARCOTICS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 10,530 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10751 - Traffic BFO,Police Services Agency,107510 - Traffic BFO,1010 - General Fund: General Purpose,A295910 - PORT OVERWEIGHT,PS14 - TRAFFIC OPERATIONS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement), 600 
FY10-11,Expense,Estimate,pre-test Midcycle,U10641 - Police Information Tech,Police Services Agency,106410 - Police Information Tech,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS01 - AGENCY-WIDE ADMINISTRATION,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 5,720 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10211 - Bureau of Investigation: Administration,Police Services Agency,102110 - Bureau of Investigation: Administration,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS01 - AGENCY-WIDE ADMINISTRATION,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 3,680 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10701 - Bureau of Field Operations-Admin,Police Services Agency,107010 - Bureau of Field Operations-Admin,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS01 - AGENCY-WIDE ADMINISTRATION,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 11,840 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10661 - Background & Recruiting,Police Services Agency,106610 - Background & Recruiting,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS01 - AGENCY-WIDE ADMINISTRATION,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 9,270 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10234 - Theft,Police Services Agency,102340 - Property/Theft,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS03 - CRIMINAL INVESTIGATIONS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 18,900 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10113 - Office of the Inspector General,Police Services Agency,101130 - Office of the Inspector General,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS01 - AGENCY-WIDE ADMINISTRATION,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 7,300 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10711 - Police Area 1,Police Services Agency,107110 - Police Area 1,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS11 - PATROL AREA 1,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 191,130 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10721 - Police Area 2,Police Services Agency,107210 - Police Area 2,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS11 - PATROL AREA 1,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 172,410 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10731 - Police Area 3,Police Services Agency,107310 - Police Area 3,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS11 - PATROL AREA 1,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 147,840 "
FY10-11,Expense,Estimate,pre-test Midcycle,U10741 - Support Operations,Police Services Agency,107410 - Support Operations,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,PS11 - PATROL AREA 1,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," (3,210)"
FY10-11,Expense,Estimate,pre-test Midcycle,30652 - Landscape Maintenance,Public Works Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB07 - GROUNDS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," (9,970)"
FY10-11,Expense,Estimate,pre-test Midcycle,30535 - Infrastructure Maint: Tree Services,Public Works Agency,No SubUnit,1010 - General Fund: General Purpose,0000000 - UNDETERMINED PROJECT,NB09 - TREES,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," (5,660)"
FY10-11,Expense,Estimate,pre-test Midcycle,04111 - City Attorney: Administration,City Attorney,No SubUnit,1100 - Self Insurance Liability,0000000 - UNDETERMINED PROJECT,IP18 - ADVISORY SERVICES,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 22,480 "
FY10-11,Expense,Estimate,pre-test Midcycle,46341 - Application Development,Office of Communication and Information Services,No SubUnit,1700 - Mandatory Refuse Program,0000000 - UNDETERMINED PROJECT,IP62 - TECHNOLOGY MANAGEMENT,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement), (130)
FY10-11,Expense,Estimate,pre-test Midcycle,30673 - Graffiti Abatement Rapid Response,Public Works Agency,No SubUnit,1720 - Comprehensive Clean-up,0000000 - UNDETERMINED PROJECT,NB35 - KEEP OAKLAND CLEAN & BEAUTIFUL,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," (1,130)"
FY10-11,Expense,Estimate,pre-test Midcycle,20321 - Technical Services,Fire Services Agency,No SubUnit,1740 - Hazardous Materials Inspections,0000000 - UNDETERMINED PROJECT,PS23 - FIRE PREVENTION BUREAU,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 7,240 "
FY10-11,Expense,Estimate,pre-test Midcycle,61231 - Art / History / Literature,Library,No SubUnit,1760 - Telecommunications Reserve,0000000 - UNDETERMINED PROJECT,NB16 - MAIN LIBRARY SERVICES,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement), 250 
FY10-11,Expense,Estimate,pre-test Midcycle,78251 - Youth Services,Department of Human Services,No SubUnit,1780 - Kid's First Oakland Children's Fund,P364110 - FY10/11 OFCY-ADMINISTRATION,YS04 - OAKLAND FUND FOR CHILDREN & YOUTH,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 14,800 "
FY10-11,Expense,Estimate,pre-test Midcycle,78251 - Youth Services,Department of Human Services,No SubUnit,1780 - Kid's First Oakland Children's Fund,P266220 - OFCY EVAL  FY05/06,YS04 - OAKLAND FUND FOR CHILDREN & YOUTH,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 8,960 "
FY10-11,Expense,Estimate,pre-test Midcycle,78251 - Youth Services,Department of Human Services,No SubUnit,1780 - Kid's First Oakland Children's Fund,A229620 - OFCY - EVALUATION - INTEREST EARNED,YS04 - OAKLAND FUND FOR CHILDREN & YOUTH,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 10,420 "
FY10-11,Expense,Estimate,pre-test Midcycle,78251 - Youth Services,Department of Human Services,No SubUnit,1780 - Kid's First Oakland Children's Fund,P157721 - OFCY FY 02-03 INT. EARNED - EVAL,YS04 - OAKLAND FUND FOR CHILDREN & YOUTH,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 8,680 "
FY10-11,Expense,Estimate,pre-test Midcycle,78251 - Youth Services,Department of Human Services,No SubUnit,1780 - Kid's First Oakland Children's Fund,P266210 - OFCY ADMIN FY05/06,YS04 - OAKLAND FUND FOR CHILDREN & YOUTH,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 57,130 "
FY10-11,Expense,Estimate,pre-test Midcycle,78251 - Youth Services,Department of Human Services,No SubUnit,1780 - Kid's First Oakland Children's Fund,P157711 - OFCY FY 02-03 INT. EARNED - ADMIN,YS04 - OAKLAND FUND FOR CHILDREN & YOUTH,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 14,470 "
FY10-11,Expense,Estimate,pre-test Midcycle,78251 - Youth Services,Department of Human Services,No SubUnit,1780 - Kid's First Oakland Children's Fund,P226510 - OFCY ADMIN FY 04-05,YS04 - OAKLAND FUND FOR CHILDREN & YOUTH,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 33,690 "
FY10-11,Expense,Estimate,pre-test Midcycle,78251 - Youth Services,Department of Human Services,No SubUnit,1780 - Kid's First Oakland Children's Fund,P224711 - OFCY ADMIN INTEREST EARNED FY 03-04,YS04 - OAKLAND FUND FOR CHILDREN & YOUTH,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 6,730 "
FY10-11,Expense,Estimate,pre-test Midcycle,78251 - Youth Services,Department of Human Services,No SubUnit,1780 - Kid's First Oakland Children's Fund,P266211 - OFCY FY 0506 INT. EARNED - ADMINISTRATION,YS04 - OAKLAND FUND FOR CHILDREN & YOUTH,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 13,660 "
FY10-11,Expense,Estimate,pre-test Midcycle,78251 - Youth Services,Department of Human Services,No SubUnit,1780 - Kid's First Oakland Children's Fund,P157720 - OAKLAND FUND FY2002-03 EVALUATION,YS04 - OAKLAND FUND FOR CHILDREN & YOUTH,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 14,400 "
FY10-11,Expense,Estimate,pre-test Midcycle,U50323 - Area Two: Recreation Centers,Office of Parks and Recreation,503232 - Dimond Recreation Center,1820 - OPRCA Self Sustaining Revolving Fund,P52711 - DIMOND MAIN,"NB03 - RECREATION, CULTURAL CIVIC",51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement), 310 
FY10-11,Expense,Estimate,pre-test Midcycle,U50232 - Tennis,Office of Parks and Recreation,502320 - Tennis,1820 - OPRCA Self Sustaining Revolving Fund,P177910 - METRO DAVIE STADIUM IMPVMT FUND,IN12 - DAVIES TENNIS & CITYWIDE TENNIS,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement)," 59,160 "
FY10-11,Expense,Estimate,pre-test Midcycle,78111 - Department of Human Services: Administration,Department of Human Services,No SubUnit,2103 - HUD-ESG/SHP/HOPWA,G359210 - SHYOHYHC FY10/11,SC22 - FOSTERING SAFE AND HEALTHY COMMUNITIES,51911 - Adjustments: Miscellaneous Payroll Adjustments (Subject to Retirement), 890 
